Name,Location,Rank Info
Bluffton University,"Bluffton, OH",#27 in Regional Colleges Midwest
Campbell University,"Buies Creek, NC",#27 in Regional Universities South
Central Methodist University,"Fayette, MO",#27 in Regional Colleges Midwest
Converse College,"Spartanburg, SC",#27 in Regional Universities South
Longwood University,"Farmville, VA",#27 in Regional Universities South
Regis University,"Denver, CO",#27 in Regional Universities West
Tuskegee University,"Tuskegee, AL",#27 in Regional Universities South
University of Jamestown,"Jamestown, ND",#27 in Regional Colleges Midwest
Wake Forest University,"Winston-Salem, NC",#27 in National Universities
Assumption College,"Worcester, MA",#28 in Regional Universities North
Brescia University,"Owensboro, KY",#28 in Regional Colleges South
CUNY--Hunter College,"New York, NY",#28 in Regional Universities North
Hood College,"Frederick, MD",#28 in Regional Universities North
Monmouth University,"West Long Branch, NJ",#28 in Regional Universities North
Nazareth College,"Rochester, NY",#28 in Regional Universities North
Oakwood University,"Huntsville, AL",#28 in Regional Colleges South
Pensacola State College,"Pensacola, FL",#28 in Regional Colleges South
Reinhardt University,"Waleska, GA",#28 in Regional Colleges South
South Florida State College,"Avon Park, FL",#28 in Regional Colleges South
SUNY--New Paltz,"New Paltz, NY",#28 in Regional Universities North
University of Michigan--Ann Arbor,"Ann Arbor, MI",#28 in National Universities
Augsburg University,"Minneapolis, MN",#29 in Regional Universities Midwest
Grand Valley State University,"Allendale, MI",#29 in Regional Universities Midwest
Indiana Wesleyan University,"Marion, IN",#29 in Regional Universities Midwest
Mount Saint Mary's University,"Los Angeles, CA",#29 in Regional Universities West
SUNY--Morrisville,"Morrisville, NY",#29 in Regional Colleges North
Tufts University,"Medford, MA",#29 in National Universities
University of Maine--Presque Isle,"Presque Isle, ME",#29 in Regional Colleges North
Dakota Wesleyan University,"Mitchell, SD",#30 in Regional Colleges Midwest
Dominican University of California,"San Rafael, CA",#30 in Regional Universities West
New York University,"New York, NY",#30 in National Universities
University of North Carolina--Chapel Hill,"Chapel Hill, NC",#30 in National Universities
Briar Cliff University,"Sioux City, IA",#31 in Regional Colleges Midwest
California Baptist University,"Riverside, CA",#31 in Regional Universities West
California State Polytechnic University--Pomona,"Pomona, CA",#31 in Regional Universities West
Georgia College & State University,"Milledgeville, GA",#31 in Regional Universities South
Union College,"Lincoln, NE",#31 in Regional Colleges Midwest
University of Maine--Fort Kent,"Fort Kent, ME",#31 in Regional Colleges North
Boston College,"Chestnut Hill, MA",#32 in National Universities
Bryn Mawr College,"Bryn Mawr, PA",#32 in National Liberal Arts Colleges
Christian Brothers University,"Memphis, TN",#32 in Regional Universities South
College of William and Mary,"Williamsburg, VA",#32 in National Universities
Columbia International University,"Columbia, SC",#32 in Regional Universities South
Fisher College,"Boston, MA",#32 in Regional Colleges North
Mississippi College,"Clinton, MS",#32 in Regional Universities South
Murray State University,"Murray, KY",#32 in Regional Universities South
University of St. Francis,"Joliet, IL",#32 in Regional Universities Midwest
Western Kentucky University,"Bowling Green, KY",#32 in Regional Universities South
Wingate University,"Wingate, NC",#32 in Regional Universities South
Bucknell University,"Lewisburg, PA",#33 in National Liberal Arts Colleges
College of the Holy Cross,"Worcester, MA",#33 in National Liberal Arts Colleges
CUNY--York College,"Jamaica, NY",#33 in Regional Colleges North
Evergreen State College,"Olympia, WA",#33 in Regional Universities West
Hardin-Simmons University,"Abilene, TX",#33 in Regional Universities West
Kentucky State University,"Frankfort, KY",#33 in Regional Colleges South
Lyndon State College,"Lyndonville, VT",#33 in Regional Colleges North
Pitzer College,"Claremont, CA",#33 in National Liberal Arts Colleges
Shorter University,"Rome, GA",#33 in Regional Colleges South
University of Minnesota--Crookston,"Crookston, MN",#33 in Regional Colleges Midwest
University of Wisconsin--La Crosse,"La Crosse, WI",#33 in Regional Universities Midwest
Valley City State University,"Valley City, ND",#33 in Regional Colleges Midwest
Brandeis University,"Waltham, MA",#34 in National Universities
Capital University,"Columbus, OH",#34 in Regional Universities Midwest
College of St. Scholastica,"Duluth, MN",#34 in Regional Universities Midwest
Endicott College,"Beverly, MA",#34 in Regional Universities North
Georgia Institute of Technology,"Atlanta, GA",#34 in National Universities
La Salle University,"Philadelphia, PA",#34 in Regional Universities North
Rider University,"Lawrenceville, NJ",#34 in Regional Universities North
University of Indianapolis,"Indianapolis, IN",#34 in Regional Universities Midwest
University of Rochester,"Rochester, NY",#34 in National Universities
Defiance College,"Defiance, OH",#35 in Regional Colleges Midwest
San Jose State University,"San Jose, CA",#35 in Regional Universities West
University of Colorado--Colorado Springs,"Colorado Springs, CO",#35 in Regional Universities West
University of Valley Forge,"Phoenixville, PA",#35 in Regional Colleges North
Williams Baptist University,"Walnut Ridge, AR",#35 in Regional Colleges South
CUNY--New York City College of Technology,"Brooklyn, NY",#36 in Regional Colleges North
Everglades University,"Boca Raton, FL",#36 in Regional Colleges South
Lafayette College,"Easton, PA",#36 in National Liberal Arts Colleges
Mount Holyoke College,"South Hadley, MA",#36 in National Liberal Arts Colleges
Newbury College,"Brookline, MA",#36 in Regional Colleges North
Union College,"Schenectady, NY",#36 in National Liberal Arts Colleges
University of Wisconsin--Superior,"Superior, WI",#36 in Regional Colleges Midwest
Blackburn College,"Carlinville, IL",#37 in Regional Colleges Midwest
Boston University,"Boston, MA",#37 in National Universities
California State University--Chico,"Chico, CA",#37 in Regional Universities West
Case Western Reserve University,"Cleveland, OH",#37 in National Universities
Culver-Stockton College,"Canton, MO",#37 in Regional Colleges Midwest
The Master's University and Seminary,"Santa Clarita, CA",#37 in Regional Universities West
Ramapo College of New Jersey,"Mahwah, NJ",#37 in Regional Universities North
Roger Williams University,"Bristol, RI",#37 in Regional Universities North
Salve Regina University,"Newport, RI",#37 in Regional Universities North
University of California--Santa Barbara,"Santa Barbara, CA",#37 in National Universities
University of South Carolina--Beaufort,"Bluffton, SC",#37 in Regional Colleges South
University of Wisconsin--Eau Claire,"Eau Claire, WI",#37 in Regional Universities Midwest
Wagner College,"Staten Island, NY",#37 in Regional Universities North
West Liberty University,"West Liberty, WV",#37 in Regional Colleges South
Anderson University,"Anderson, IN",#38 in Regional Universities Midwest
Bethel College,"Mishawaka, IN",#38 in Regional Universities Midwest
Carroll University,"Waukesha, WI",#38 in Regional Universities Midwest
Concordia University,"Seward, NE",#38 in Regional Universities Midwest
Lawrence Technological University,"Southfield, MI",#38 in Regional Universities Midwest
University of Findlay,"Findlay, OH",#38 in Regional Universities Midwest
University of Lynchburg,"Lynchburg, VA",#38 in Regional Universities South
University of Michigan--Dearborn,"Dearborn, MI",#38 in Regional Universities Midwest
University of Minnesota--Duluth,"Duluth, MN",#38 in Regional Universities Midwest
University of Montevallo,"Montevallo, AL",#38 in Regional Universities South
Western Carolina University,"Cullowhee, NC",#38 in Regional Universities South
California State University--Long Beach,"Long Beach, CA",#39 in Regional Universities West
Franklin and Marshall College,"Lancaster, PA",#39 in National Liberal Arts Colleges
Grand View University,"Des Moines, IA",#39 in Regional Colleges Midwest
Limestone College,"Gaffney, SC",#39 in Regional Colleges South
McPherson College,"McPherson, KS",#39 in Regional Colleges Midwest
Oakland City University,"Oakland City, IN",#39 in Regional Colleges Midwest
Soka University of America,"Aliso Viejo, CA",#39 in National Liberal Arts Colleges
Chaminade University of Honolulu,"Honolulu, HI",#40 in Regional Universities West
Northeastern University,"Boston, MA",#40 in National Universities
Ohio Valley University,"Vienna, WV",#40 in Regional Colleges South
Tulane University,"New Orleans, LA",#40 in National Universities
Bluefield College,"Bluefield, VA",#41 in Regional Colleges South
Concordia University,"Irvine, CA",#41 in Regional Universities West
CUNY--Queens College,"Queens, NY",#41 in Regional Universities North
Eastern Mennonite University,"Harrisonburg, VA",#41 in Regional Universities South
Emmanuel College,"Franklin Springs, GA",#41 in Regional Colleges South
Fresno Pacific University,"Fresno, CA",#41 in Regional Universities West
Misericordia University,"Dallas, PA",#41 in Regional Universities North
Molloy College,"Rockville Centre, NY",#41 in Regional Universities North
Notre Dame de Namur University,"Belmont, CA",#41 in Regional Universities West
Point University,"West Point, GA",#41 in Regional Colleges South
Sacred Heart University,"Fairfield, CT",#41 in Regional Universities North
Sewanee--University of the South,"Sewanee, TN",#41 in National Liberal Arts Colleges
Skidmore College,"Saratoga Springs, NY",#41 in National Liberal Arts Colleges
Stockton University,"Galloway, NJ",#41 in Regional Universities North
Towson University,"Towson, MD",#41 in Regional Universities North
Wheeling Jesuit University,"Wheeling, WV",#41 in Regional Universities South
Whitman College,"Walla Walla, WA",#41 in National Liberal Arts Colleges
Ottawa University,"Ottawa, KS",#42 in Regional Colleges Midwest
Rensselaer Polytechnic Institute,"Troy, NY",#42 in National Universities
University of California--Irvine,"Irvine, CA",#42 in National Universities
University of California--San Diego,"La Jolla, CA",#42 in National Universities
University of Florida,"Gainesville, FL",#42 in National Universities
Marshall University,"Huntington, WV",#43 in Regional Universities South
Mary Baldwin University,"Staunton, VA",#43 in Regional Universities South
Radford University,"Radford, VA",#43 in Regional Universities South
Tabor College,"Hillsboro, KS",#43 in Regional Colleges Midwest
Central Washington University,"Ellensburg, WA",#44 in Regional Universities West
Greensboro College,"Greensboro, NC",#44 in Regional Colleges South
La Sierra University,"Riverside, CA",#44 in Regional Universities West
Occidental College,"Los Angeles, CA",#44 in National Liberal Arts Colleges
Olivet College,"Olivet, MI",#44 in Regional Colleges Midwest
Trinity College,"Hartford, CT",#44 in National Liberal Arts Colleges
Kansas Wesleyan University,"Salina, KS",#45 in Regional Colleges Midwest
Lake Superior State University,"Sault Ste. Marie, MI",#45 in Regional Colleges Midwest
Mayville State University,"Mayville, ND",#45 in Regional Colleges Midwest
Warner University,"Lake Wales, FL",#45 in Regional Colleges South
Wilmington College,"Wilmington, OH",#45 in Regional Colleges Midwest
Baker University,"Baldwin City, KS",#46 in Regional Universities Midwest
Bard College,"Annandale on Hudson, NY",#46 in National Liberal Arts Colleges
Centre College,"Danville, KY",#46 in National Liberal Arts Colleges
Connecticut College,"New London, CT",#46 in National Liberal Arts Colleges
Denison University,"Granville, OH",#46 in National Liberal Arts Colleges
Ferrum College,"Ferrum, VA",#46 in Regional Colleges South
Freed-Hardeman University,"Henderson, TN",#46 in Regional Universities South
Gettysburg College,"Gettysburg, PA",#46 in National Liberal Arts Colleges
