Name,Location,Rank Info
Trinity International University,"Deerfield, IL",#231-#300 in National Universities
Trinity Washington University,"Washington, DC",#146-#187 in Regional Universities North
Union College,"Barbourville, KY",#114-#142 in Regional Universities South
University of Akron,"Akron, OH",#231-#300 in National Universities
University of Alaska--Southeast,"Juneau, AK",#96-#126 in Regional Universities West
University of Arkansas--Fort Smith,"Fort Smith, AR",#60-#79 in Regional Colleges South
University of Arkansas--Little Rock,"Little Rock, AR",#231-#300 in National Universities
University of Baltimore,"Baltimore, MD",#146-#187 in Regional Universities North
University of Bridgeport,"Bridgeport, CT",#146-#187 in Regional Universities North
University of Houston--Downtown,"Houston, TX",#96-#126 in Regional Universities West
University of Houston--Victoria,"Victoria, TX",#96-#126 in Regional Universities West
University of Louisiana--Lafayette,"Lafayette, LA",#231-#300 in National Universities
University of Louisiana--Monroe,"Monroe, LA",#231-#300 in National Universities
University of Maine--Augusta,"Augusta, ME",#38-#48 in Regional Colleges North
University of Maine--Machias,"Machias, ME",#173-#229 in National Liberal Arts Colleges
University of Maryland--Eastern Shore,"Princess Anne, MD",#231-#300 in National Universities
University of Memphis,"Memphis, TN",#231-#300 in National Universities
University of Missouri--St. Louis,"St. Louis, MO",#231-#300 in National Universities
University of Nebraska--Omaha,"Omaha, NE",#231-#300 in National Universities
University of Nevada--Las Vegas,"Las Vegas, NV",#231-#300 in National Universities
University of New Orleans,"New Orleans, LA",#231-#300 in National Universities
University of North Carolina--Greensboro,"Greensboro, NC",#231-#300 in National Universities
University of Northern Colorado,"Greeley, CO",#231-#300 in National Universities
University of North Texas,"Denton, TX",#231-#300 in National Universities
University of Pikeville,"Pikeville, KY",#173-#229 in National Liberal Arts Colleges
University of Science and Arts of Oklahoma,"Chickasha, OK",#173-#229 in National Liberal Arts Colleges
University of South Alabama,"Mobile, AL",#231-#300 in National Universities
University of Southern Indiana,"Evansville, IN",#126-#165 in Regional Universities Midwest
University of Southern Maine,"Portland, ME",#146-#187 in Regional Universities North
University of Southern Mississippi,"Hattiesburg, MS",#231-#300 in National Universities
University of St. Mary,"Leavenworth, KS",#126-#165 in Regional Universities Midwest
University of Texas--Arlington,"Arlington, TX",#231-#300 in National Universities
University of Texas--El Paso,"El Paso, TX",#231-#300 in National Universities
University of Texas--Rio Grande Valley,"Edinburg, TX",#231-#300 in National Universities
University of Texas--San Antonio,"San Antonio, TX",#231-#300 in National Universities
University of the Cumberlands,"Williamsburg, KY",#231-#300 in National Universities
University of the District of Columbia,"Washington, DC",#146-#187 in Regional Universities North
University of the Southwest,"Hobbs, NM",#96-#126 in Regional Universities West
University of Toledo,"Toledo, OH",#231-#300 in National Universities
University of Virginia--Wise,"Wise, VA",#173-#229 in National Liberal Arts Colleges
University of West Alabama,"Livingston, AL",#114-#142 in Regional Universities South
University of West Florida,"Pensacola, FL",#231-#300 in National Universities
University of West Georgia,"Carrollton, GA",#231-#300 in National Universities
University of Wisconsin--Milwaukee,"Milwaukee, WI",#231-#300 in National Universities
University of Wisconsin--Parkside,"Kenosha, WI",#173-#229 in National Liberal Arts Colleges
Upper Iowa University,"Fayette, IA",#126-#165 in Regional Universities Midwest
Urbana University,"Urbana, OH",#62-#80 in Regional Colleges Midwest
Valdosta State University,"Valdosta, GA",#231-#300 in National Universities
Virginia Union University,"Richmond, VA",#173-#229 in National Liberal Arts Colleges
Virginia Wesleyan University,"Norfolk, VA",#173-#229 in National Liberal Arts Colleges
Voorhees College,"Denmark, SC",#60-#79 in Regional Colleges South
Waldorf University,"Forest City, IA",#62-#80 in Regional Colleges Midwest
Washington Adventist University,"Takoma Park, MD",#146-#187 in Regional Universities North
Wayland Baptist University,"Plainview, TX",#96-#126 in Regional Universities West
Wesley College,"Dover, DE",#38-#48 in Regional Colleges North
West Virginia State University,"Institute, WV",#173-#229 in National Liberal Arts Colleges
Wichita State University,"Wichita, KS",#231-#300 in National Universities
Wilberforce University,"Wilberforce, OH",#62-#80 in Regional Colleges Midwest
Wiley College,"Marshall, TX",#26-#33 in Regional Colleges West
William Peace University,"Raleigh, NC",#173-#229 in National Liberal Arts Colleges
William Penn University,"Oskaloosa, IA",#126-#165 in Regional Universities Midwest
Wright State University,"Dayton, OH",#231-#300 in National Universities
Young Harris College,"Young Harris, GA",#173-#229 in National Liberal Arts Colleges
Youngstown State University,"Youngstown, OH",#126-#165 in Regional Universities Midwest
Academy of Art University,"San Francisco, CA",Unranked in Arts Schools
Acadia University,"Wolfville, Nova Scotia",Unranked in Other Schools
Adventist University of Health Sciences,"Orlando, FL",Unranked in Other Schools
Albany College of Pharmacy and Health Sciences,"Albany, NY",Unranked in Other Schools
Allen College,"Waterloo, IA",Unranked in Other Schools
Alliant International University,"San Diego, CA",Unranked in National Universities
Amberton University,"Garland, TX",Unranked in Regional Universities West
American Academy of Art,"Chicago, IL",Unranked in Arts Schools
American College of Thessaloniki,Unranked in Other Schools,N/A
American InterContinental University,"Hoffman Estates, IL",Unranked in Regional Universities Midwest
American Public University System,"Charles Town, WV",Unranked in Regional Universities South
American University in Bulgaria,Blagoevgrad 2700,Unranked in Other Schools
American University in Cairo,New Cairo 11835,Unranked in Other Schools
American University of Beirut,"Riad El Solh, Beirut",Unranked in Other Schools
American University of Paris,Paris,Unranked in Other Schools
American University of Puerto Rico,"Bayamon, PR",Unranked in Other Schools
Antioch University,"Yellow Springs, OH",Unranked in Regional Universities Midwest
Appalachian Bible College,"Bradley, WV",Unranked in Other Schools
Aquinas College,"Nashville, TN",Unranked in Other Schools
